pickup_latitude|pickup_longitude|PickUpKey|properties.category|properties.addresstype|properties.address.neighbourhood|properties.address.suburb
40.76088|-73.985817|28908|building|building|Hell's Kitchen|Manhattan
40.760883|-73.997856|28909|building|building|Hell's Kitchen|Manhattan
40.760883|-73.983055|28910|building|building||Manhattan
40.760887|-73.999306|28911|building|building|Hell's Kitchen|Manhattan
40.760887|-73.967537|28912|building|building|Midtown East|Manhattan
40.760887|-73.967392|28913|building|building|Midtown East|Manhattan
40.760891|-73.974068|28914|building|building|Midtown East|Manhattan
40.760891|-73.970718|28915|building|building|Midtown East|Manhattan
40.760895|-73.975662|28916|building|building|Manhattan Community Board 5|Manhattan
40.760895|-73.973137|28917|place|place|Midtown East|Manhattan
40.760899|-73.99469|28918|place|place|Hell's Kitchen|Manhattan
40.760899|-73.990967|28919|building|building|Hell's Kitchen|Manhattan
40.760902|-73.968697|28920|building|building|Midtown East|Manhattan
40.760902|-73.967339|28921|building|building|Midtown East|Manhattan
40.760902|-73.960793|28922|place|place|Manhattan Community Board 8|Manhattan
40.760906|-74.002342|28923|highway|road|Hell's Kitchen|Manhattan
40.760906|-73.960953|28924|highway|road|Lenox Hill|Manhattan
40.76091|-73.983505|28925|railway|railway||Manhattan
40.760914|-74.000137|28926|building|building|Hell's Kitchen|Manhattan
40.760914|-73.999046|28927|building|building|Hell's Kitchen|Manhattan
40.760914|-73.990837|28928|building|building|Hell's Kitchen|Manhattan
40.760914|-73.980019|28929|building|building|Manhattan Community Board 5|Manhattan
40.760914|-73.965874|28930|building|building|Midtown East|Manhattan
40.760918|-73.990746|28931|place|place|Hell's Kitchen|Manhattan
40.760918|-73.987038|28932|amenity|amenity|Hell's Kitchen|Manhattan
40.760918|-73.968941|28933|amenity|amenity|Midtown East|Manhattan
40.760918|-73.961121|28934|place|place|Manhattan Community Board 8|Manhattan
40.760921|-73.998169|28935|place|place|Hell's Kitchen|Manhattan
40.760921|-73.99057|28936|place|place|Hell's Kitchen|Manhattan
40.760921|-73.987129|28937|amenity|amenity|Hell's Kitchen|Manhattan
40.760921|-73.984268|28938|building|building||Manhattan
40.760921|-73.983307|28939|building|building||Manhattan
40.760921|-73.962845|28940|highway|road|Lenox Hill|Manhattan
40.760925|-73.974808|28941|building|building|Midtown East|Manhattan
40.760925|-73.967033|28942|building|building|Midtown East|Manhattan
40.760925|-73.966927|28943|place|place|Midtown East|Manhattan
40.760933|-73.998611|28944|shop|shop|Hell's Kitchen|Manhattan
40.760933|-73.998322|28945|place|place|Hell's Kitchen|Manhattan
40.760933|-73.990654|28946|place|place|Hell's Kitchen|Manhattan
40.760933|-73.975418|28947|place|place|Midtown East|Manhattan
40.760933|-73.96981|28948|building|building|Midtown East|Manhattan
40.760933|-73.930779|28949|place|place|Ravenswood|Queens
40.760937|-73.998116|28950|place|place|Hell's Kitchen|Manhattan
40.760937|-73.99456|28951|place|place|Hell's Kitchen|Manhattan
40.760937|-73.980927|28952|place|place|Manhattan Community Board 5|Manhattan
40.760937|-73.972992|28953|place|place|Midtown East|Manhattan
40.760937|-73.961273|28954|place|place|Manhattan Community Board 8|Manhattan
40.760941|-73.999352|28955|building|building|Hell's Kitchen|Manhattan
40.760941|-73.990875|28956|place|place|Hell's Kitchen|Manhattan
40.760941|-73.9869|28957|place|place|Hell's Kitchen|Manhattan
40.760941|-73.983879|28958|building|building||Manhattan
40.760941|-73.973938|28959|building|building|Midtown East|Manhattan
40.760941|-73.969193|28960|place|place|Midtown East|Manhattan
40.760948|-73.995712|28961|building|building|Hell's Kitchen|Manhattan
40.760948|-73.990891|28962|place|place|Hell's Kitchen|Manhattan
40.760948|-73.983086|28963|building|building||Manhattan
40.760948|-73.980247|28964|building|building|Manhattan Community Board 5|Manhattan
40.760948|-73.977592|28965|tourism|tourism|Manhattan Community Board 5|Manhattan
40.760948|-73.969406|28966|tourism|tourism|Midtown East|Manhattan
40.760948|-73.968887|28967|highway|highway|Midtown East|Manhattan
40.760948|-73.965523|28968|building|building|Midtown East|Manhattan
40.760952|-73.998795|28969|building|building|Hell's Kitchen|Manhattan
40.760952|-73.976265|28970|amenity|amenity|Manhattan Community Board 5|Manhattan
40.760952|-73.96949|28971|tourism|tourism|Midtown East|Manhattan
40.760956|-73.988815|28972|building|building|Hell's Kitchen|Manhattan
40.760956|-73.98864|28973|building|building|Hell's Kitchen|Manhattan
40.760956|-73.98703|28974|amenity|amenity|Hell's Kitchen|Manhattan
40.760956|-73.979248|28975|building|building|Manhattan Community Board 5|Manhattan
40.760956|-73.975456|28976|place|place|Manhattan Community Board 5|Manhattan
40.76096|-73.994522|28977|place|place|Hell's Kitchen|Manhattan
40.76096|-73.923103|28978|building|building||Queens
40.760963|-73.998756|28979|shop|shop|Hell's Kitchen|Manhattan
40.760963|-73.998077|28980|place|place|Hell's Kitchen|Manhattan
40.760963|-73.994637|28981|place|place|Hell's Kitchen|Manhattan
40.760963|-73.990936|28982|place|place|Hell's Kitchen|Manhattan
40.760963|-73.975616|28983|building|building|Manhattan Community Board 5|Manhattan
40.760963|-73.974747|28984|building|building|Midtown East|Manhattan
40.760967|-73.983963|28985|building|building||Manhattan
40.760971|-73.99881|28986|shop|shop|Hell's Kitchen|Manhattan
40.760971|-73.99189|28987|building|building|Hell's Kitchen|Manhattan
40.760971|-73.99086|28988|place|place|Hell's Kitchen|Manhattan
40.760971|-73.984497|28989|building|building||Manhattan
40.760971|-73.975304|28990|shop|shop|Midtown East|Manhattan
40.760971|-73.967125|28991|amenity|amenity|Midtown East|Manhattan
40.760975|-73.975494|28992|amenity|amenity|Manhattan Community Board 5|Manhattan
40.760979|-73.998787|28993|shop|shop|Hell's Kitchen|Manhattan
40.760979|-73.987335|28994|building|building|Hell's Kitchen|Manhattan
40.760979|-73.984665|28995|building|building||Manhattan
40.760979|-73.965477|28996|building|building|Midtown East|Manhattan
40.760979|-73.95945|28997|building|building|Manhattan Community Board 8|Manhattan
40.760979|-73.95797|28998|place|place|Manhattan Community Board 8|Manhattan
40.760983|-73.986748|28999|tourism|tourism|Hell's Kitchen|Manhattan
40.760983|-73.985062|29000|tourism|tourism||Manhattan
40.760983|-73.968628|29001|building|building|Midtown East|Manhattan
40.760986|-73.998482|29002|building|building|Hell's Kitchen|Manhattan
40.760986|-73.990959|29003|place|place|Hell's Kitchen|Manhattan
40.760986|-73.990639|29004|place|place|Hell's Kitchen|Manhattan
40.760986|-73.99057|29005|place|place|Hell's Kitchen|Manhattan
40.760986|-73.982124|29006|tourism|tourism|Manhattan Community Board 5|Manhattan
40.760986|-73.97596|29007|building|building|Manhattan Community Board 5|Manhattan
40.760986|-73.973442|29008|building|building|Midtown East|Manhattan
40.760986|-73.971382|29009|place|place|Midtown East|Manhattan
40.760986|-73.960983|29010|highway|road|Lenox Hill|Manhattan
40.76099|-73.987007|29011|amenity|amenity|Hell's Kitchen|Manhattan
40.76099|-73.985023|29012|amenity|amenity|Hell's Kitchen|Manhattan
40.76099|-73.975945|29013|building|building|Manhattan Community Board 5|Manhattan
40.76099|-73.975182|29014|shop|shop|Midtown East|Manhattan
40.76099|-73.95797|29015|place|place|Manhattan Community Board 8|Manhattan
40.760994|-73.998825|29016|shop|shop|Hell's Kitchen|Manhattan
40.760998|-73.998207|29017|place|place|Hell's Kitchen|Manhattan
40.761002|-73.999016|29018|building|building|Hell's Kitchen|Manhattan
40.761002|-73.979134|29019|highway|road|Manhattan Community Board 5|Manhattan
40.761002|-73.978981|29020|highway|road|Manhattan Community Board 5|Manhattan
40.761002|-73.966949|29021|place|place|Midtown East|Manhattan
40.761005|-73.999794|29022|building|building|Hell's Kitchen|Manhattan
40.761005|-73.994537|29023|place|place|Hell's Kitchen|Manhattan
40.761005|-73.990677|29024|place|place|Hell's Kitchen|Manhattan
40.761005|-73.98597|29025|building|building|Hell's Kitchen|Manhattan
40.761005|-73.985336|29026|building|building|Hell's Kitchen|Manhattan
40.761005|-73.984261|29027|place|place||Manhattan
40.761005|-73.967026|29028|place|place|Midtown East|Manhattan
40.761009|-73.982452|29029|amenity|amenity|Manhattan Community Board 5|Manhattan
40.761013|-73.98307|29030|place|place|Manhattan Community Board 5|Manhattan
40.761013|-73.977844|29031|building|building|Manhattan Community Board 5|Manhattan
40.761013|-73.969376|29032|tourism|tourism|Midtown East|Manhattan
40.761017|-73.997475|29033|building|building|Hell's Kitchen|Manhattan
40.761021|-73.986549|29034|tourism|tourism|Hell's Kitchen|Manhattan
40.761024|-73.960983|29035|highway|road|Lenox Hill|Manhattan
40.761028|-73.999031|29036|building|building|Hell's Kitchen|Manhattan
40.761028|-73.999016|29037|building|building|Hell's Kitchen|Manhattan
40.761028|-73.990768|29038|building|building|Hell's Kitchen|Manhattan
40.761028|-73.986275|29039|building|building|Hell's Kitchen|Manhattan
40.761028|-73.979614|29040|building|building|Manhattan Community Board 5|Manhattan
40.761028|-73.970917|29041|building|building|Midtown East|Manhattan
40.761028|-73.969597|29042|tourism|tourism|Midtown East|Manhattan
40.761032|-73.994728|29043|place|place|Hell's Kitchen|Manhattan
40.761032|-73.987076|29044|highway|road|Hell's Kitchen|Manhattan
40.761032|-73.979317|29045|building|building|Manhattan Community Board 5|Manhattan
40.761032|-73.971695|29046|place|place|Midtown East|Manhattan
40.761036|-73.977646|29047|building|building|Manhattan Community Board 5|Manhattan
40.761036|-73.969086|29048|place|place|Midtown East|Manhattan
40.761036|-73.96653|29049|building|building|Midtown East|Manhattan
40.761044|-73.998795|29050|shop|shop|Hell's Kitchen|Manhattan
40.761044|-73.998741|29051|shop|shop|Hell's Kitchen|Manhattan
40.761044|-73.979797|29052|building|building|Manhattan Community Board 5|Manhattan
40.761044|-73.978592|29053|building|building|Manhattan Community Board 5|Manhattan
40.761047|-73.994766|29054|place|place|Hell's Kitchen|Manhattan
